"´Žè""LOCATION""",Country,CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE16,"Buzby & al., 2014",2010,2010,317.5146622,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR87,Food Loss - Fish and seafodd,SOURCE16,"Buzby & al., 2014",2010,2010,181.4369498,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR89,Food Loss - Fluid milk,SOURCE16,"Buzby & al., 2014",2010,2010,2948.350434,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR92,Food Loss - Fresh Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,1995.806448,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR94,Food Loss - Fresh vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,2358.680347,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE16,"Buzby & al., 2014",2010,2010,3265.865096,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR104,Food Loss - Meat,SOURCE16,"Buzby & al., 2014",2010,2010,635.0293243,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR114,Food Loss - Other Dairy products,SOURCE16,"Buzby & al., 2014",2010,2010,1270.058649,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR115,Food Loss - Poultry,SOURCE16,"Buzby & al., 2014",2010,2010,408.2331371,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR117,Food Loss - Processed Fruit,SOURCE16,"Buzby & al., 2014",2010,2010,725.7477992,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR119,Food Loss - Processed vegetables,SOURCE16,"Buzby & al., 2014",2010,2010,816.4662741,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE16,"Buzby & al., 2014",2010,2010,90.7184749,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR56,Food Loss,SOURCE48,Kantor et al. 1997,1995,1995,2,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR59,Food Loss -  Dry beans + peas and lentils,SOURCE48,Kantor et al. 1997,1995,1995,1,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR72,Food Loss - Caloric sweeteners,SOURCE48,Kantor et al. 1997,1995,1995,1,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR75,Food Loss - Dairy products,SOURCE48,Kantor et al. 1997,1995,1995,2,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR81,Food Loss - Eggs,SOURCE48,Kantor et al. 1997,1995,1995,2,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR96,Food Loss - Fruit,SOURCE48,Kantor et al. 1997,1995,1995,2,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR100,Food Loss - Grain products,SOURCE48,Kantor et al. 1997,1995,1995,2,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE48,Kantor et al. 1997,1995,1995,1,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE48,Kantor et al. 1997,1995,1995,1,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR132,Food Loss - Vegetables,SOURCE48,Kantor et al. 1997,1995,1995,2,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR154USA,Food Loss -fats and oils,SOURCE48,Kantor et al. 1997,1995,1995,1,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR56,Food Loss,SOURCE48,Kantor et al. 1997,1995,1995,2471.624849,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR72,Food Loss - Caloric sweeteners,SOURCE48,Kantor et al. 1997,1995,1995,175.9938413,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR75,Food Loss - Dairy products,SOURCE48,Kantor et al. 1997,1995,1995,691.7283711,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR78,Food Loss - Dry beans + peas and lentils,SOURCE48,Kantor et al. 1997,1995,1995,10.43262461,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE48,Kantor et al. 1997,1995,1995,71.66759517,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR84,Food Loss - Fats and oils,SOURCE48,Kantor et al. 1997,1995,1995,92.07925202,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR96,Food Loss - Fruit,SOURCE48,Kantor et al. 1997,1995,1995,320.6898088,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE48,Kantor et al. 1997,1995,1995,413.6762455,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE48,Kantor et al. 1997,1995,1995,233.6000729,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE48,Kantor et al. 1997,1995,1995,8.618255115,,
USA,United States,FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR132,Food Loss - Vegetables,SOURCE48,Kantor et al. 1997,1995,1995,453.1387821,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,5795,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,9174,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,47009,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR64,Food Loss - Added fats and oils,SOURCE15,"Buzby & al., 2012",2008,2008,7068,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR67,Food Loss - Added sugar and sweetners,SOURCE15,"Buzby & al., 2012",2008,2008,1514,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR75,Food Loss - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,9023,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR81,Food Loss - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,1154,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR88,Food Loss - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,2012,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR96,Food Loss - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,5795,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR100,Food Loss - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,4175,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR104,Food Loss - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,3747,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE15,"Buzby & al., 2012",2008,2008,8453,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR115,Food Loss - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,2694,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE15,"Buzby & al., 2012",2008,2008,653,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR132,Food Loss - Vegetables,SOURCE15,"Buzby & al., 2012",2008,2008,9174,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR56,Food Loss,SOURCE15,"Buzby & al., 2012",2008,2008,154.6,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR64,Food Loss - Added fats and oils,SOURCE15,"Buzby & al., 2012",2008,2008,23.2,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR67,Food Loss - Added sugar and sweetners,SOURCE15,"Buzby & al., 2012",2008,2008,5,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR75,Food Loss - Dairy products,SOURCE15,"Buzby & al., 2012",2008,2008,29.7,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR81,Food Loss - Eggs,SOURCE15,"Buzby & al., 2012",2008,2008,3.8,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR88,Food Loss - Fish and seafood,SOURCE15,"Buzby & al., 2012",2008,2008,6.6,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR96,Food Loss - Fruit,SOURCE15,"Buzby & al., 2012",2008,2008,19.1,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR100,Food Loss - Grain products,SOURCE15,"Buzby & al., 2012",2008,2008,13.7,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR104,Food Loss - Meat,SOURCE15,"Buzby & al., 2012",2008,2008,12.3,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE15,"Buzby & al., 2012",2008,2008,27.8,,
USA,United States,MAEI,3. Monetary and economic impact,RETAIL,Retail,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR115,Food Loss - Poultry,SOURCE15,"Buzby & al., 2012",2008,2008,8.9,,
