,CAT,ACT,Activity,UNIT,VAR,Variable,SRC,Source,TIME,Value
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR67,Added sugar & sweeteners,SOURCE14,"Buzby & al., 2011",2008,2067.474043
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR75,Dairy products,SOURCE14,"Buzby & al., 2011",2008,4245.624625
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR75,Dairy products,SOURCE16,"Buzby & al., 2014",2010,4218.409083
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR81,Eggs,SOURCE14,"Buzby & al., 2011",2008,395.5325506
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR81,Eggs,SOURCE16,"Buzby & al., 2014",2010,317.5146622
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR86,Fish & seafood,SOURCE14,"Buzby & al., 2011",2008,180.0761727
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR87,Fish & seafood,SOURCE16,"Buzby & al., 2014",2010,181.4369498
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR56,Food Loss,SOURCE14,"Buzby & al., 2011",2008,19474.53501
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR56,Food Loss,SOURCE16,"Buzby & al., 2014",2010,19504.4721
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR90,Fresh & processed fruit,SOURCE14,"Buzby & al., 2011",2008,2604.527414
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR90,Fresh & processed fruit,SOURCE16,"Buzby & al., 2014",2010,2721.554247
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR91,Fresh & processed veggies,SOURCE14,"Buzby & al., 2011",2008,3123.437091
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR91,Fresh & processed veggies,SOURCE16,"Buzby & al., 2014",2010,3175.146621
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR100,Grain products,SOURCE14,"Buzby & al., 2011",2008,3252.710918
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR100,Grain products,SOURCE16,"Buzby & al., 2014",2010,3265.865096
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR104,Meat,SOURCE14,"Buzby & al., 2011",2008,667.2343829
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR104,Meat,SOURCE16,"Buzby & al., 2014",2010,635.0293243
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR115,Poultry,SOURCE14,"Buzby & al., 2011",2008,388.2750726
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR115,Poultry,SOURCE16,"Buzby & al., 2014",2010,408.2331371
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR128,Tree nuts & peanuts,SOURCE14,"Buzby & al., 2011",2008,86.18255115
USA,FLFW,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,FWVAR128,Tree nuts & peanuts,SOURCE16,"Buzby & al., 2014",2010,90.7184749
